TRAMO_ID,CODIGO_ESTACION,NOMBRE_ESTACION,NUCLEO_CERCANIAS,TRAMO_HORARIO,VIAJEROS_SUBIDOS,VIAJEROS_BAJADOS
BENALMADENA-ARROYO_DE_LA_MIEL_2100_2130,54511,BENALMADENA-ARROYO DE LA MIEL,MÁLAGA,21:00 - 21:30,28,102
BENALMADENA-ARROYO_DE_LA_MIEL_2130_2200,54511,BENALMADENA-ARROYO DE LA MIEL,MÁLAGA,21:30 - 22:00,20,68
BENALMADENA-ARROYO_DE_LA_MIEL_2200_2230,54511,BENALMADENA-ARROYO DE LA MIEL,MÁLAGA,22:00 - 22:30,16,57
BENALMADENA-ARROYO_DE_LA_MIEL_2230_2300,54511,BENALMADENA-ARROYO DE LA MIEL,MÁLAGA,22:30 - 23:00,13,41
BENALMADENA-ARROYO_DE_LA_MIEL_2300_2330,54511,BENALMADENA-ARROYO DE LA MIEL,MÁLAGA,23:00 - 23:30,16,31
BENALMADENA-ARROYO_DE_LA_MIEL_2330_0000,54511,BENALMADENA-ARROYO DE LA MIEL,MÁLAGA,23:30 - 00:00,19,22
TORREMUELLE_0000_0030,54512,TORREMUELLE,MÁLAGA,00:00 - 00:30,0,4
TORREMUELLE_0530_0600,54512,TORREMUELLE,MÁLAGA,05:30 - 06:00,0,0
TORREMUELLE_0600_0630,54512,TORREMUELLE,MÁLAGA,06:00 - 06:30,0,1
TORREMUELLE_0630_0700,54512,TORREMUELLE,MÁLAGA,06:30 - 07:00,6,0
TORREMUELLE_0700_0730,54512,TORREMUELLE,MÁLAGA,07:00 - 07:30,18,4
TORREMUELLE_0730_0800,54512,TORREMUELLE,MÁLAGA,07:30 - 08:00,6,6
TORREMUELLE_0800_0830,54512,TORREMUELLE,MÁLAGA,08:00 - 08:30,11,23
TORREMUELLE_0830_0900,54512,TORREMUELLE,MÁLAGA,08:30 - 09:00,21,45
TORREMUELLE_0900_0930,54512,TORREMUELLE,MÁLAGA,09:00 - 09:30,14,11
TORREMUELLE_0930_1000,54512,TORREMUELLE,MÁLAGA,09:30 - 10:00,26,10
TORREMUELLE_1000_1030,54512,TORREMUELLE,MÁLAGA,10:00 - 10:30,14,8
TORREMUELLE_1030_1100,54512,TORREMUELLE,MÁLAGA,10:30 - 11:00,35,1
TORREMUELLE_1100_1130,54512,TORREMUELLE,MÁLAGA,11:00 - 11:30,29,7
TORREMUELLE_1130_1200,54512,TORREMUELLE,MÁLAGA,11:30 - 12:00,10,5
TORREMUELLE_1200_1230,54512,TORREMUELLE,MÁLAGA,12:00 - 12:30,5,11
TORREMUELLE_1230_1300,54512,TORREMUELLE,MÁLAGA,12:30 - 13:00,21,7
TORREMUELLE_1300_1330,54512,TORREMUELLE,MÁLAGA,13:00 - 13:30,12,7
TORREMUELLE_1330_1400,54512,TORREMUELLE,MÁLAGA,13:30 - 14:00,12,24
TORREMUELLE_1400_1430,54512,TORREMUELLE,MÁLAGA,14:00 - 14:30,10,27
TORREMUELLE_1430_1500,54512,TORREMUELLE,MÁLAGA,14:30 - 15:00,13,21
TORREMUELLE_1500_1530,54512,TORREMUELLE,MÁLAGA,15:00 - 15:30,13,32
TORREMUELLE_1530_1600,54512,TORREMUELLE,MÁLAGA,15:30 - 16:00,8,7
TORREMUELLE_1600_1630,54512,TORREMUELLE,MÁLAGA,16:00 - 16:30,55,26
TORREMUELLE_1630_1700,54512,TORREMUELLE,MÁLAGA,16:30 - 17:00,19,9
TORREMUELLE_1700_1730,54512,TORREMUELLE,MÁLAGA,17:00 - 17:30,25,29
TORREMUELLE_1730_1800,54512,TORREMUELLE,MÁLAGA,17:30 - 18:00,12,9
TORREMUELLE_1800_1830,54512,TORREMUELLE,MÁLAGA,18:00 - 18:30,19,23
TORREMUELLE_1830_1900,54512,TORREMUELLE,MÁLAGA,18:30 - 19:00,13,12
TORREMUELLE_1900_1930,54512,TORREMUELLE,MÁLAGA,19:00 - 19:30,6,18
